title,budget,gross,imdb_score,meta_score,opening_weekend,rated,release_date,run_time,max_meta_actor_score,min_meta_actor_score,sum_max_meta_actor_score,sum_min_meta_actor_score,avg_meta_high_actor_score,avg_meta_avg_actor_score,max_user_actor_score,min_user_actor_score,sum_max_user_actor_score,sum_min_user_actor_score,avg_user_high_actor_score,avg_user_median_actor_score,max_meta_director_score,min_meta_director_score,sum_max_meta_director_score,sum_min_meta_director_score,avg_meta_high_director_score,avg_meta_avg_director_score,max_user_director_score,min_user_director_score,sum_max_user_director_score,sum_min_user_director_score,avg_user_high_director_score,avg_user_median_director_score,max_meta_writer_score,min_meta_writer_score,sum_max_meta_writer_score,sum_min_meta_writer_score,avg_meta_high_writer_score,avg_meta_avg_writer_score,max_user_writer_score,min_user_writer_score,sum_max_user_writer_score,sum_min_user_writer_score,avg_user_high_writer_score,avg_user_median_writer_score
Emelie,0,0,5.4,62,0,,04/03/2016,80,62,41,186,147,62,55.6667,7,5,21,19,7,7,62,62,62,62,62,62,7,7,7,7,7,7,62,62,124,124,62,62,7,7,14,14,7,7
Endless Love,20000000,23393765,6.3,30,14407605,PG-13,14/02/2014,104,90,12,365,120,73,47.8,9,4,40,20,8,6.2,56,30,56,30,56,44,7,4,7,4,7,7,72,30,128,60,64,47.5,8,4,15,8,7.5,7.5
Enemies Closer,5000000,0,5.2,49,0,R,24/01/2014,85,93,21,338,169,67.6,46.6,9,2,40,20,8,6.4,55,24,55,24,55,38,9,3,9,3,9,6,49,30,98,79,49,44.5,6,5,12,11,6,6
Enemy,0,1007088,6.9,61,18000,R,14/03/2014,90,88,20,390,154,78,57,9,1,44,16,8.8,6.8,82,61,82,61,82,72,9,6,9,6,9,8,61,45,61,45,61,53,7,6,7,6,7,7
Entertainment,0,44242,5.7,65,5132,R,13/11/2015,103,85,32,386,218,77.2,62,9,4,40,29,8,7,65,46,65,46,65,52,7,7,7,7,7,7,65,46,129,110,64.5,58,8,7,15,15,7.5,7.5
Entourage,0,0,8.5,38,0,,03/06/2015,104,92,21,222,84,74,49,10,1,27,11,9,6,,,,,,,,,,,,,38,35,38,35,38,37,7,5,7,5,7,6
Equals,16000000,32095,6,43,9206,PG-13,15/07/2016,101,90,32,375,176,75,53.8,9,4,41,24,8.2,6.8,68,43,68,43,68,55,8,6,8,6,8,7,68,43,135,86,67.5,55,8,6,16,12,8,7.5
Equity,0,1604101,5.5,68,82434,R,29/07/2016,100,94,18,314,139,78.5,56.75,10,3,30,18,7.5,6.5,68,68,68,68,68,68,6,6,6,6,6,6,94,36,162,79,81,57,7,4,13,9,6.5,6
Ernest & Célestine,9600000,71442,7.9,86,13078,PG,28/02/2014,80,92,9,436,196,87.2,65.2,9,2,43,24,8.6,7.6,86,70,172,140,86,78,8,8,16,16,8,8,86,86,172,172,86,86,8,8,16,16,8,8
Escobar: Paradise Lost,17000000,106869,6.6,56,106869,R,26/06/2015,120,90,31,375,209,75,59.4,9,1,41,23,8.2,7,79,47,79,47,79,58,8,4,8,4,8,7,79,47,158,94,79,58,8,4,16,8,8,7
Everest,55000000,43247140,7.1,64,7222035,PG-13,18/09/2015,121,95,30,296,196,74,60,8,5,30,25,7.5,7.25,75,39,75,39,75,58,8,6,8,6,8,7,86,38,153,83,76.5,63.5,9,6,17,12,8.5,7
Everly,0,0,5.1,35,0,R,27/02/2015,92,73,11,265,140,53,40.8,9,1,39,25,7.8,6.8,43,32,43,32,43,37,7,5,7,5,7,6,35,35,70,70,35,35,7,7,14,14,7,7
Everybody Wants Some!!,10000000,3369431,7,83,312355,R,30/03/2016,117,83,30,327,170,81.75,59.5,9,3,31,19,7.75,6.75,100,49,100,49,100,75,10,4,10,4,10,8,100,49,100,49,100,75,10,4,10,4,10,8
Evolution,80000000,6927,6.1,77,13408351,PG-13,25/11/2016,81,88,8,376,104,75.2,49.6,9,2,45,19,9,7,83,35,83,35,83,55,9,3,9,3,9,8,46,19,88,59,44,37.5,9,1,16,6,8,6.5
Ex Machina,15000000,25440971,7.7,78,250000,R,10/04/2015,108,93,24,436,182,87.2,62.4,9,3,43,25,8.6,7.4,78,43,78,43,78,65,9,5,9,5,9,8,78,43,78,43,78,65,9,5,9,5,9,8
Exhibition,0,0,5.4,72,0,,20/06/2014,104,82,42,302,233,75.5,68.25,8,3,24,14,6,5.5,82,72,82,72,82,76,7,3,7,3,7,5,82,72,164,144,82,76,7,3,14,6,7,5
Exists,0,0,5.2,22,0,R,24/10/2014,81,83,14,256,102,51.2,35.8,8,3,32,20,6.4,5.6,81,15,81,15,81,44,7,3,7,3,7,6,81,15,81,15,81,44,7,3,7,3,7,6
Exodus: Gods and Kings,140000000,65007045,6,52,24115934,PG-13,12/12/2014,150,95,18,432,154,86.4,57.6,9,3,44,23,8.8,7.2,89,30,89,30,89,58,9,3,9,3,9,7,59,32,118,64,59,42,9,4,18,8,9,5
Experimenter,0,155075,6.6,81,8682,PG-13,16/10/2015,98,81,24,283,170,70.75,55.25,9,2,27,15,6.75,6,81,54,81,54,81,69,7,4,7,4,7,6,81,54,81,54,81,69,7,4,7,4,7,6
Exposed,0,0,4.2,23,0,R,22/01/2016,102,53,23,488,368,30.5,27,6,4,72,64,4.5,4.25,23,23,92,92,23,23,4,4,16,16,4,4,23,23,92,92,23,23,4,4,16,16,4,4
